2020-09-25 16:10:31.866 +01:00 [INF] Process took a total of 3556 milliseconds
2020-09-25 16:10:32.847 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:35.349 +01:00 [INF] Process took a total of 3482 milliseconds
2020-09-25 16:10:36.368 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:38.872 +01:00 [INF] Process took a total of 3522 milliseconds
2020-09-25 16:10:39.850 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:42.353 +01:00 [INF] Process took a total of 3480 milliseconds
2020-09-25 16:10:43.317 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:45.824 +01:00 [INF] Process took a total of 3470 milliseconds
2020-09-25 16:10:46.745 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:49.250 +01:00 [INF] Process took a total of 3425 milliseconds
2020-09-25 16:10:50.190 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:52.694 +01:00 [INF] Process took a total of 3444 milliseconds
2020-09-25 16:10:53.555 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:56.060 +01:00 [INF] Process took a total of 3365 milliseconds
2020-09-25 16:10:56.948 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:10:59.451 +01:00 [INF] Process took a total of 3390 milliseconds
2020-09-25 16:11:00.871 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:03.372 +01:00 [INF] Process took a total of 3920 milliseconds
2020-09-25 16:11:04.761 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:07.266 +01:00 [INF] Process took a total of 3894 milliseconds
2020-09-25 16:11:08.564 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:11.070 +01:00 [INF] Process took a total of 3803 milliseconds
2020-09-25 16:11:12.280 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:14.781 +01:00 [INF] Process took a total of 3711 milliseconds
2020-09-25 16:11:15.897 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:18.402 +01:00 [INF] Process took a total of 3621 milliseconds
2020-09-25 16:11:19.402 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:21.907 +01:00 [INF] Process took a total of 3503 milliseconds
2020-09-25 16:11:22.910 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:25.414 +01:00 [INF] Process took a total of 3507 milliseconds
2020-09-25 16:11:26.410 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:28.914 +01:00 [INF] Process took a total of 3499 milliseconds
2020-09-25 16:11:29.961 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:32.464 +01:00 [INF] Process took a total of 3549 milliseconds
2020-09-25 16:11:33.417 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:35.921 +01:00 [INF] Process took a total of 3456 milliseconds
2020-09-25 16:11:36.913 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:39.418 +01:00 [INF] Process took a total of 3497 milliseconds
2020-09-25 16:11:40.419 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:42.922 +01:00 [INF] Process took a total of 3503 milliseconds
2020-09-25 16:11:43.858 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:46.361 +01:00 [INF] Process took a total of 3439 milliseconds
2020-09-25 16:11:47.338 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:49.841 +01:00 [INF] Process took a total of 3477 milliseconds
2020-09-25 16:11:50.798 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:53.302 +01:00 [INF] Process took a total of 3460 milliseconds
2020-09-25 16:11:54.168 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:11:56.670 +01:00 [INF] Process took a total of 3368 milliseconds
2020-09-25 16:11:57.559 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:00.064 +01:00 [INF] Process took a total of 3393 milliseconds
2020-09-25 16:12:01.180 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:03.681 +01:00 [INF] Process took a total of 3617 milliseconds
2020-09-25 16:12:04.856 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:07.361 +01:00 [INF] Process took a total of 3679 milliseconds
2020-09-25 16:12:08.372 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:10.877 +01:00 [INF] Process took a total of 3515 milliseconds
2020-09-25 16:12:11.888 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:14.394 +01:00 [INF] Process took a total of 3516 milliseconds
2020-09-25 16:12:15.435 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:17.935 +01:00 [INF] Process took a total of 3541 milliseconds
2020-09-25 16:12:18.922 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:21.426 +01:00 [INF] Process took a total of 3491 milliseconds
2020-09-25 16:12:22.427 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:24.931 +01:00 [INF] Process took a total of 3504 milliseconds
2020-09-25 16:12:25.909 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:28.414 +01:00 [INF] Process took a total of 3482 milliseconds
2020-09-25 16:12:29.431 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:31.935 +01:00 [INF] Process took a total of 3520 milliseconds
2020-09-25 16:12:32.915 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:35.418 +01:00 [INF] Process took a total of 3482 milliseconds
2020-09-25 16:12:36.377 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:38.882 +01:00 [INF] Process took a total of 3464 milliseconds
2020-09-25 16:12:39.849 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:42.352 +01:00 [INF] Process took a total of 3469 milliseconds
2020-09-25 16:12:43.301 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:45.803 +01:00 [INF] Process took a total of 3451 milliseconds
2020-09-25 16:12:46.771 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:49.273 +01:00 [INF] Process took a total of 3467 milliseconds
2020-09-25 16:12:50.301 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:52.805 +01:00 [INF] Process took a total of 3531 milliseconds
2020-09-25 16:12:53.755 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:56.258 +01:00 [INF] Process took a total of 3452 milliseconds
2020-09-25 16:12:57.131 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:12:59.635 +01:00 [INF] Process took a total of 3377 milliseconds
2020-09-25 16:13:01.277 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:03.782 +01:00 [INF] Process took a total of 4146 milliseconds
2020-09-25 16:13:04.711 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:07.214 +01:00 [INF] Process took a total of 3432 milliseconds
2020-09-25 16:13:08.228 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:10.731 +01:00 [INF] Process took a total of 3516 milliseconds
2020-09-25 16:13:11.592 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:14.097 +01:00 [INF] Process took a total of 3365 milliseconds
2020-09-25 16:13:14.962 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:17.466 +01:00 [INF] Process took a total of 3368 milliseconds
2020-09-25 16:13:18.339 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:20.842 +01:00 [INF] Process took a total of 3375 milliseconds
2020-09-25 16:13:21.806 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:24.310 +01:00 [INF] Process took a total of 3468 milliseconds
2020-09-25 16:13:25.184 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:27.685 +01:00 [INF] Process took a total of 3374 milliseconds
2020-09-25 16:13:28.569 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:31.075 +01:00 [INF] Process took a total of 3389 milliseconds
2020-09-25 16:13:32.010 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:34.515 +01:00 [INF] Process took a total of 3440 milliseconds
2020-09-25 16:13:35.391 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:37.894 +01:00 [INF] Process took a total of 3378 milliseconds
2020-09-25 16:13:38.828 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:41.333 +01:00 [INF] Process took a total of 3438 milliseconds
2020-09-25 16:13:42.356 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:13:44.858 +01:00 [INF] Process took a total of 3524 milliseconds
2020-09-25 16:13:45.840 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:30.062 +01:00 [INF] Starting up the service
2020-09-25 16:14:31.109 +01:00 [INF] Worker started at: 09/25/2020 16:14:31 +01:00
2020-09-25 16:14:32.744 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:35.250 +01:00 [INF] Process took a total of 4080 milliseconds
2020-09-25 16:14:36.284 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:38.789 +01:00 [INF] Process took a total of 3537 milliseconds
2020-09-25 16:14:39.832 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:42.337 +01:00 [INF] Process took a total of 3547 milliseconds
2020-09-25 16:14:43.368 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:45.872 +01:00 [INF] Process took a total of 3534 milliseconds
2020-09-25 16:14:46.920 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:49.424 +01:00 [INF] Process took a total of 3548 milliseconds
2020-09-25 16:14:50.413 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:52.916 +01:00 [INF] Process took a total of 3491 milliseconds
2020-09-25 16:14:53.906 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:56.413 +01:00 [INF] Process took a total of 3495 milliseconds
2020-09-25 16:14:57.380 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:14:59.884 +01:00 [INF] Process took a total of 3470 milliseconds
2020-09-25 16:15:00.866 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:03.372 +01:00 [INF] Process took a total of 3487 milliseconds
2020-09-25 16:15:04.333 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:06.838 +01:00 [INF] Process took a total of 3465 milliseconds
2020-09-25 16:15:07.813 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:10.317 +01:00 [INF] Process took a total of 3478 milliseconds
2020-09-25 16:15:11.295 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:13.800 +01:00 [INF] Process took a total of 3482 milliseconds
2020-09-25 16:15:14.759 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:17.263 +01:00 [INF] Process took a total of 3463 milliseconds
2020-09-25 16:15:18.218 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:20.724 +01:00 [INF] Process took a total of 3459 milliseconds
2020-09-25 16:15:21.675 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:24.182 +01:00 [INF] Process took a total of 3457 milliseconds
2020-09-25 16:15:26.213 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:28.717 +01:00 [INF] Process took a total of 4535 milliseconds
2020-09-25 16:15:29.998 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:32.504 +01:00 [INF] Process took a total of 3786 milliseconds
2020-09-25 16:15:33.634 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:36.138 +01:00 [INF] Process took a total of 3633 milliseconds
2020-09-25 16:15:37.247 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:39.752 +01:00 [INF] Process took a total of 3614 milliseconds
2020-09-25 16:15:40.739 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:43.240 +01:00 [INF] Process took a total of 3487 milliseconds
2020-09-25 16:15:44.208 +01:00 [INF] GCCC website is up. Status Code OK
2020-09-25 16:15:46.713 +01:00 [INF] Process took a total of 3472 milliseconds
